ASP,CLS,SENT,PRED,P-1,P0,P+1,T/F
miscellaneous,1,you will not be disapointed at all .,-1,0.8208214640617371,0.01472310908138752,0.16445539891719818,False
price,1,they are served with a free appetizer and the portions are perfect for lunch .,1,0.003060302697122097,0.011490920558571815,0.9854487776756287,True
miscellaneous,0,we go often .,-1,0.40389734506607056,0.24210099875926971,0.35400164127349854,False
ambience,1,"because we did n't have a reservation , we could only sit in the back garden , but it was great , secluded and perfect in nice weather .",1,0.06819809973239899,0.005634387023746967,0.9261674284934998,True
service,1,"service is extraordinary , yet not overbearing , and the decor brings a taste of trendy soho into queens .",1,0.12303002178668976,0.007968430407345295,0.8690015077590942,True
food,-1,"the chicken parm was edible but had canned tomato sauce and boxed pasta and the chicken with portobello mushrooms consisted of dry , inedible chicken with terrible sauce .",-1,0.6339648962020874,0.009875706396996975,0.35615938901901245,True
miscellaneous,1,i loved it and would highly recommend .,1,0.02058570832014084,0.007672462612390518,0.9717418551445007,True
miscellaneous,0,there was a small group of us looking somewhere to eat kinda late on a weeknight and we ended up at pastis .,0,0.017986923456192017,0.9368632435798645,0.0451497957110405,True
food,-1,like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan .,1,0.2727210819721222,0.1594143658876419,0.5678644776344299,False
service,-1,"the whole set up is truly unprofessional and i wish cafe noir would get some good staff , because despite the current one this is a great place .",1,0.2217414677143097,0.004088414832949638,0.7741700410842896,False
miscellaneous,-1,this place is to be avoided .,-1,0.8120556473731995,0.012536019086837769,0.17540836334228516,True
food,1,"the puke green walls leave a lot to be desired , but the food is very good .",1,0.12892813980579376,0.009975957684218884,0.8610958456993103,True
food,-1,"it 's like they took leftover chicken , poured oil and sprinkled pepper powder over it ( the sauce was translucent and red ) .",-1,0.9115064144134521,0.005163476336747408,0.08333003520965576,True
service,1,the food is delicious and beautifully prepared along with the friendly and personable service .,1,0.001243932405486703,0.001813292852602899,0.9969426989555359,True
food,1,"the steak tartare is a great bet , they fix it for you at the table .",1,0.048239368945360184,0.00816691666841507,0.9435937404632568,True
food,1,this is the best shabu-shabu restaurant in the try-state area .,1,0.01724768802523613,0.014839078299701214,0.9679132699966431,True
ambience,1,the atmosphere is much better than sripraphai ( more modern and sleek ) .,1,0.07011547684669495,0.04639214277267456,0.8834923505783081,True
miscellaneous,1,"wow ! how have i missed this one , tried long tan last week for the first time and now know what the ny times and many more in the neighborhood already knew .",1,0.024859601631760597,0.05223649740219116,0.9229039549827576,True
miscellaneous,1,i am french and i really felt like home ! ! !,1,0.003409937024116516,0.0060112811625003815,0.9905787110328674,True
ambience,1,the ambience is very romantic and definitely a good place to bring a date .,1,0.004073188174515963,0.005147094372659922,0.9907797574996948,True
miscellaneous,-1,haru on park s is simply disgusting .,-1,0.39203858375549316,0.23570725321769714,0.3722541630268097,True
food,1,"the food is very good for it 's price , better than most fried dumplings i 've had .",1,0.044231683015823364,0.02858935482800007,0.9271789789199829,True
miscellaneous,-1,i just do not understand what the fuss is all about .,1,0.19059200584888458,0.3560202121734619,0.4533877968788147,False
food,1,"little tonino 's is just awesome , our favorite delivery place in kennsington , honestly the best gnochi i have ever had !",1,0.010219091549515724,0.0008991479407995939,0.9888817667961121,True
price,1,"at 5 dumplings for $ 1 , you just can not go wrong .",-1,0.5232685208320618,0.08352990448474884,0.3932015895843506,False
miscellaneous,0,really depends on your luck !,1,0.24231398105621338,0.06031954661011696,0.6973665356636047,False
food,1,of course the reason its so packed is because the food is so delicious !,1,0.0666886493563652,0.01630088873207569,0.9170104265213013,True
food,0,the food was so-so .,-1,0.6902132630348206,0.16328321397304535,0.14650359749794006,False
service,0,the service was ok .,0,0.28075361251831055,0.488937109708786,0.23030926287174225,True
service,-1,stepped on my foot on the second time he reached over me to adjust lighting .,-1,0.7965885400772095,0.15504483878612518,0.04836655780673027,True
food,1,"this is some really good , inexpensive sushi .",1,0.03441712260246277,0.0289361122995615,0.9366466999053955,True
service,-1,"oh yes , and they lie on the phone , claiming they have seating in the garden , then of course the seats are not available .",-1,0.7323344945907593,0.0669972151517868,0.2006683498620987,True
miscellaneous,1,we 'd go back again,1,0.17874841392040253,0.10702280700206757,0.7142288088798523,True
service,-1,"they are not helpful in the least and will give you the grand run around so by the time the event date rolls around you will not only regret chosing this place , but also become hostile !",-1,0.5010455250740051,0.012794019654393196,0.4861604571342468,True
food,1,the food options rule .,1,0.19251686334609985,0.32267674803733826,0.48480644822120667,True
ambience,-1,"granted the space is smaller than most , it is the best service you will find in even the largest of restaurants .",1,0.12991853058338165,0.10378222167491913,0.7662992477416992,False
ambience,1,"haru serves very fresh fish , has a trendy , modern ambiance , prime location on park avenue south and friendly service .",1,0.003739947685971856,0.014939011074602604,0.9813210368156433,True
service,1,"the vibe is very relaxed and cozy , service was great and the food was excellent !",1,0.0020565863233059645,0.0017929921159520745,0.9961504936218262,True
food,1,"the vibe is very relaxed and cozy , service was great and the food was excellent !",1,0.007386802230030298,0.002593127777799964,0.9900200366973877,True
miscellaneous,1,"well worth the trip , close to city hall and downtown subway stops .",1,0.021076254546642303,0.07625434547662735,0.9026694297790527,True
ambience,-1,"so , for good food i 'd recommend it , but not for a fun night out .",1,0.026928380131721497,0.026659058406949043,0.9464125633239746,False
ambience,1,the design and atmosphere is just as good .,1,0.01837930642068386,0.012311577796936035,0.9693091511726379,True
service,-1,"bottom line : b+ for the food , f for the service .",-1,0.45840129256248474,0.2185973972082138,0.32300126552581787,True
miscellaneous,1,i loved this place ! !,1,0.00727576669305563,0.005431829951703548,0.9872924089431763,True
service,1,"most of the servers are very attentive , friendly and quite attractive .",1,0.004283594433218241,0.0014196420088410378,0.9942967295646667,True
food,-1,the makhani was ok -- the korma was bland .,-1,0.8192510604858398,0.09780202060937881,0.08294697850942612,True
miscellaneous,0,want to impress ?,-1,0.4212609529495239,0.2597692906856537,0.3189696967601776,False
miscellaneous,0,i went to amma after a friend recommended it .,0,0.018427759408950806,0.7527677416801453,0.22880452871322632,True
miscellaneous,-1,just do n't do it .,-1,0.6394393444061279,0.09984460473060608,0.26071596145629883,True
food,0,kalbi and nebbiolo do work together .,1,0.015208566561341286,0.19920948147773743,0.7855820059776306,False
food,1,"the burger was great , also .",1,0.013677078299224377,0.013491300866007805,0.9728315472602844,True
miscellaneous,0,went on a double date with friend and his girlfriend for a few drinks and appetizers .,0,0.008030681870877743,0.8767522573471069,0.11521704494953156,True
food,0,we began with the cheese fondue ( the artisanal blend ) and added apples and kielbasa to dip .,1,0.010197672061622143,0.17894572019577026,0.8108565807342529,False
price,1,and all of that wo n't break your bank !,-1,0.5457075238227844,0.0660601556301117,0.38823235034942627,False
miscellaneous,0,"to speak of the park side , words can not describe .",0,0.028637412935495377,0.8993734121322632,0.07198916375637054,True
food,1,"the signs , the specials menus , food , and even all the waitstaff are all totally japanese .",1,0.10573846846818924,0.012181459926068783,0.882080078125,True
service,1,"otherwise , this place has great service and prices and a nice friendly atmosphere .",1,0.014956554397940636,0.0019884263165295124,0.9830549955368042,True
miscellaneous,1,good for dates or with friends .,0,0.015348116867244244,0.5625360012054443,0.42211583256721497,False
miscellaneous,1,"for those that go once and do n't enjoy it , all i can say is that they just do n't get it .",1,0.23036591708660126,0.07500088959932327,0.6946331858634949,True
ambience,-1,"the place is a little tight and on a cold day , the seating by the entranceway can be pretty drafty .",-1,0.4996955990791321,0.021241025999188423,0.47906333208084106,True
service,1,the service was excellent and the food was delicious .,1,0.002945785643532872,0.0013042009668424726,0.9957499504089355,True
miscellaneous,0,"by the time we were done , it was past 1:00am .",-1,0.7230762243270874,0.1161511167883873,0.16077269613742828,False
ambience,-1,"the service was mediocre , and the lack of air conditioning made for a less than comfortable meal .",-1,0.7438019514083862,0.025446806102991104,0.23075126111507416,True
miscellaneous,-1,"i do n't get it , what 's so special about prune ?",-1,0.5181757807731628,0.17919476330280304,0.3026294410228729,True
food,1,you must have the crabmeat lasagna which is out of this world and the chocolate bread pudding for dessert .,1,0.008722236379981041,0.004713819827884436,0.9865639209747314,True
service,-1,food was good not great not worth the wait or another visit,1,0.2827688753604889,0.015022904612123966,0.7022082805633545,False
service,1,truly the mark of an attentive waiter .,1,0.006862609647214413,0.02269146218895912,0.9704458713531494,True
price,1,"for the location , the prices are very reasonable .",1,0.16553086042404175,0.040042340755462646,0.7944267392158508,True
miscellaneous,1,"this is the perfect spot for meeting friends , having lunch , dinner , pre-theatre or after-theatre drinks !",1,0.0023370888084173203,0.00997273437678814,0.9876902103424072,True
food,1,"the chicken and steak were seasoned and cooked to perfection , and the lamb sandwhich is great for heartier appetites .",1,0.0024092327803373337,0.0030815275385975838,0.9945092797279358,True
service,1,"service was excellent , and the ac worked very well too ( thank god , it was hot ! ) .",1,0.005004453472793102,0.0021053736563771963,0.9928901195526123,True
food,1,the fish is fresh and each piece is sliced to perfection and seasoned by the sushi chef ( usually with a little fresh wasabi and soy sauce but also sometimes with some sea salt ) .,1,0.0014211088418960571,0.008929042145609856,0.9896498918533325,True
miscellaneous,1,katz 's has been a nyc original for over 100 years .,1,0.010506669990718365,0.27349379658699036,0.7159995436668396,True
service,1,service was quick .,1,0.11010599136352539,0.07985934615135193,0.8100346922874451,True
price,1,baluchi 's has solid food and a nice decor at reasonable prices .,1,0.01892371103167534,0.007238370832055807,0.9738379716873169,True
miscellaneous,1,definitely a great spot for a nice occasion or date .,1,0.015959570184350014,0.010414034128189087,0.9736263751983643,True
service,1,"two people in our party felt like something else , and volare immediately obliged with two great dishes that were not in their regular menu .",1,0.032938357442617416,0.07358621060848236,0.8934754729270935,True
food,1,"the food 's dazzling flavors overwhelm the palate , truly embracing the beauty of authentic thai cuisine .",1,0.0027698578778654337,0.0036708044353872538,0.9935593605041504,True
miscellaneous,0,this is the jackel and hideof the restaurants on the ues .,1,0.023904716596007347,0.3059370815753937,0.6701582670211792,False
food,1,"the service is friendly , if not the most prompt in the world , the food is great , and the prices , while not cheap , wo n't put your wallet out of commission .",1,0.22566623985767365,0.012293349020183086,0.7620404362678528,True
miscellaneous,1,but that is highly forgivable .,1,0.43505236506462097,0.025415237993001938,0.5395323634147644,True
food,1,salads were fantastic .,1,0.0112202949821949,0.014095000922679901,0.9746846556663513,True
food,-1,i am relatively new to the area and tried pick a bgel on 2nd and was disappointed with the service and i thought the food was overated and on the pricey side .,1,0.4303326904773712,0.03586646541953087,0.5338008403778076,False
food,1,excellent lunch buffet for only $ 6.95 .,1,0.013880126178264618,0.06758460402488708,0.9185352921485901,True
miscellaneous,0,so sorry i ca n't rate this better .,-1,0.6014435291290283,0.13876940310001373,0.25978705286979675,False
miscellaneous,-1,was surprisingly disappointed .,-1,0.7249361276626587,0.027784360572695732,0.24727949500083923,True
service,1,"the service was attentive , yet unimposing , the food was far better than many notorious restaurants in midtown and the wine list is extensive and well priced .",1,0.05596566200256348,0.005033004097640514,0.9390013217926025,True
food,1,even the wine by the glass was good .,1,0.03334344923496246,0.014154891483485699,0.952501654624939,True
food,1,"i went at 6:00 pm specifically for the pre-theater menu ( $ 19.95 for roasted tomato soup with chevre , steak frites , creme brulee ) and it was marvelous .",1,0.005477829370647669,0.04388319328427315,0.950639009475708,True
service,1,from the moment you enter till the moment you walk out the friendly and helpful staff was was just fantastic .,1,0.04894464090466499,0.0018701405497267842,0.9491852521896362,True
service,-1,"besides , when you have bad service , that 's less money you have to tip .",-1,0.6962168216705322,0.07750462740659714,0.22627854347229004,True
ambience,-1,"the decor is really blah , and not at all hip or happening .",-1,0.7318654656410217,0.039677590131759644,0.22845691442489624,True
price,0,the food is okay and the prices here are mediocre .,-1,0.7866895794868469,0.053788669407367706,0.15952174365520477,False
service,-1,"maybe i say so because it looked promising for people who like artery-clogging jewish deli food , but turns out to be poorly run and awful .",-1,0.6694613695144653,0.07455088198184967,0.2559877932071686,True
food,-1,we ate at this thai place following the reviews but very unhappy with the foods .,-1,0.5044798851013184,0.09161105006933212,0.40390899777412415,True
miscellaneous,1,but i 'd go back,1,0.14027796685695648,0.11771305650472641,0.7420090436935425,True
ambience,1,"it 's charmingly small and that leads to an atmoshere that is extremely cozy and romantic , even .",1,0.008150327019393444,0.003940221853554249,0.9879094958305359,True
price,-1,"if you want to save some money , do n't go here .",-1,0.6778373718261719,0.06387694180011749,0.2582857310771942,True
price,-1,"the only weird thing was if we got a bottle , the waitress would have simply multiplied the glass price x4 , which makes no sense whatsoever .",-1,0.8028431534767151,0.00847789365798235,0.18867895007133484,True
ambience,-1,i think the restaurant was too loud ( when full ) to be romantic .,-1,0.5318357348442078,0.0648907944560051,0.40327343344688416,True
food,0,"we actually gave 10 % tip ( which we have never done despite mediocre food and service ) , because we felt totally ripped off .",-1,0.8329238295555115,0.011998054571449757,0.15507809817790985,False
food,-1,"i love when restaurants think using fancy expensive ingrediants makes the food fine cuisine , even with no idea how to use them .",1,0.45002758502960205,0.08068713545799255,0.46928519010543823,False
miscellaneous,0,this is can became on e of the ny italian food fare institutions .,0,0.004658136051148176,0.7749247550964355,0.22041703760623932,True
ambience,1,"the food was delicious , the atmosphere was relaxed , and we have now adopted plate 347 as our secret on second !",1,0.003674475010484457,0.00560751324519515,0.9907180666923523,True
price,-1,"we actually gave 10 % tip ( which we have never done despite mediocre food and service ) , because we felt totally ripped off .",-1,0.8368770480155945,0.01840813457965851,0.14471475780010223,True
miscellaneous,1,"have eaten at ginger house several times , and it 's always good .",1,0.013790757395327091,0.03711754456162453,0.9490917325019836,True
food,1,the food was spicy and delicious .,1,0.008416865952312946,0.01217446755617857,0.9794086813926697,True
miscellaneous,0,i had very high expectations for this place and made a reservation a couple of months in advance for a special occasion .,0,0.04570341110229492,0.6094613671302795,0.3448352515697479,True
service,1,"they have it all -- great price , food , and service .",1,0.020229144021868706,0.016742607578635216,0.9630282521247864,True
food,1,the food is great and they have a good selecion of wines at reasonable prices .,1,0.0036612984258681536,0.0030739051289856434,0.9932647943496704,True
food,1,the food there are sastifying .,0,0.09065564721822739,0.4648188054561615,0.4445255696773529,False
service,-1,"we laughed when he finally offered us a dessert menu and we left a 10 percent tip , which was generous , i feel .",1,0.34046703577041626,0.012646111659705639,0.6468868255615234,False
ambience,1,"not sure where the previous reviewer , lonk , dined , but saul is in a great neighborhood and has great food !",1,0.006138988770544529,0.0060484628193080425,0.9878125786781311,True
food,1,the place is a bistro which means : simple dishes and wine served efficiently in a bustling atmosphere .,1,0.0009335711947642267,0.0038959705270826817,0.9951704144477844,True
service,-1,"besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served ( and that order was undercooked ) , and charged $ 45 more than we should have been on our bill .",-1,0.9796048402786255,0.008186785504221916,0.012208301573991776,True
food,1,the food portions are really large .,1,0.19563813507556915,0.10757185518741608,0.6967900395393372,True
food,1,great indian food and the service is incredible .,1,0.00446966802701354,0.007400047965347767,0.9881303310394287,True
food,1,"my friends and i experienced amazing cheese and a delicious , new summer menu at artisanal last night .",1,0.0007604819838888943,0.002690168796107173,0.9965493679046631,True
miscellaneous,1,i have been to rao 's probably 15 times the past 3 years and it keeps getting better .,1,0.12161058932542801,0.10638955235481262,0.7719998955726624,True
ambience,1,"it 's constantly open , catering to the pakistani cabbies lined up on crosby st. , so there 's more turnover with the food than you 'd expect ( i.e. , surprisingly fresh ) .",1,0.0032692388631403446,0.143812894821167,0.8529178500175476,True
food,1,my wife had the fried shrimp which are huge and loved it .,1,0.008215758949518204,0.01067658793181181,0.9811076521873474,True
food,1,the banana tower is an amazing dessert as well .,1,0.006141797639429569,0.026914427056908607,0.9669438004493713,True
ambience,1,"great food , good size menu , great service and an unpretensious setting .",1,0.006835769396275282,0.00326956482604146,0.989894688129425,True
price,-1,sushi was n't anything spectacular for the price .,-1,0.5015029907226562,0.08124613016843796,0.41725093126296997,True
price,-1,if you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you 'll love it here .,1,0.4186077117919922,0.037745632231235504,0.5436466336250305,False
food,1,he takes real pride in his food and his business .,1,0.01929301954805851,0.02669517882168293,0.954011857509613,True
miscellaneous,1,overall a oh ya even though there is waiting it is deff worth it,1,0.29184281826019287,0.06498190760612488,0.6431753635406494,True
service,1,service was efficient courteous .,1,0.008634897880256176,0.007020497228950262,0.9843445420265198,True
ambience,1,this place has the the correct ambience and an excellent staff to make you feel like a guest and a friend at the same time .,1,0.07476338744163513,0.0055019366554915905,0.9197347164154053,True
price,1,the price was extremely reasonable for the appetizers and food we ate .,1,0.04768342152237892,0.03132055327296257,0.9209960699081421,True
miscellaneous,0,"overall , i 'm still impressed that the place even exists and the prices are quite decent but then again , its chinatown .",1,0.061670202761888504,0.03602265194058418,0.9023071527481079,False
miscellaneous,1,"if you wrote a bad review , it 's because you do n't understand what rao 's is all about .",-1,0.4298244118690491,0.36488422751426697,0.20529133081436157,False
price,1,great food at reasonable prices .,1,0.02126607671380043,0.021267050877213478,0.9574669003486633,True
miscellaneous,1,we love th pink pony .,1,0.004488736856728792,0.01813262328505516,0.9773786067962646,True
miscellaneous,0,my fiance took me to scopa last week for my birthday and i could n't believe the food .,0,0.22656193375587463,0.5400781631469727,0.23335987329483032,True
food,1,best dish is nori-wrapped tuna .,1,0.012988520786166191,0.05217289179563522,0.9348386526107788,True
food,1,we 've been to grocery three times and not once has an item on the menu disappointed .,-1,0.6591087579727173,0.041098229587078094,0.29979297518730164,False
miscellaneous,1,after dealing with subpar pizza all over the kensington neighborhood - i 've found little toninos .,1,0.06337905675172806,0.092181496322155,0.8444394469261169,True
ambience,1,this is a cute place and could be good but they need to get their act together .,1,0.06188003346323967,0.0021129008382558823,0.9360070824623108,True
miscellaneous,0,"at 6:30 , we were the third party there .",0,0.060270845890045166,0.9043790102005005,0.035350121557712555,True
ambience,1,the place is so cool and the service is prompt and curtious .,1,0.006059642415493727,0.0035447594709694386,0.9903956055641174,True
miscellaneous,0,they were able to squeeze me in at 6 after i called the night before my anniversary for a friday night reservation and told me they 'd treat us well for the occasion .,0,0.005935167893767357,0.698863685131073,0.2952011823654175,True
miscellaneous,-1,i wish they would change back to what it was before .,-1,0.7023665308952332,0.072957843542099,0.22467556595802307,True
miscellaneous,0,just go and see for yourself .,1,0.2928870916366577,0.13325440883636475,0.5738585591316223,False
service,1,our server was very helpful and friendly .,1,0.01308941189199686,0.004295556340366602,0.9826149940490723,True
miscellaneous,1,this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .,1,0.002726995851844549,0.016665484756231308,0.9806075096130371,True
miscellaneous,1,i recently went to this restaurant with some co-workers for lunch and had an amazing time .,1,0.009152698330581188,0.07047439366579056,0.9203729033470154,True
food,1,i had lobster bisque it has 2 oz . of maine lobster in it .,1,0.014535639435052872,0.012024900875985622,0.9734395146369934,True
food,1,"admittedly , this is not the place for gigantic pieces of fish overflowing the plate ( and thank goodness , in my opinion ) but for simple , elegant sushi there is no better place in new york or anywhere in the us .",1,0.2829521894454956,0.024056773632764816,0.6929910182952881,True
food,1,"the anti-pasta was excellent , especially the calamari , as were the filling pasta mains .",1,0.0041687749326229095,0.002356358803808689,0.9934749007225037,True
food,0,"meat dishes now adorn the selections , although there 's still a large number of vegetarian-friendly choices .",1,0.18087752163410187,0.11403509974479675,0.7050873637199402,False
food,1,what an amazing meal and experience !,1,0.00479275593534112,0.003303573466837406,0.9919037222862244,True
food,1,although we were looking for regular lettuce and some walnuts the salads we got were great .,1,0.005978865548968315,0.039604611694812775,0.9544165134429932,True
miscellaneous,0,"after a seafood craving , i checked citysearch and chose to go to fish based on a previous review and the citysearch info .",0,0.0022856025025248528,0.6914050579071045,0.306309312582016,True
food,0,it 's just o.k . pizza .,0,0.1547648161649704,0.5240633487701416,0.3211718201637268,True
food,1,"anyway , the food is good , the price is right and they have a decent wine list .",1,0.04725052788853645,0.022278498858213425,0.9304709434509277,True
service,-1,he offers subpar service and has no personality .,-1,0.5844506025314331,0.03484981507062912,0.3806995451450348,True
food,-1,it is obvious that no one in the restaurant has any idea about or experience with japanese cuisine .,0,0.1855846792459488,0.5432246923446655,0.27119067311286926,False
food,1,the food is authentic italian - delicious !,1,0.0018063877942040563,0.00480816001072526,0.9933854937553406,True
food,1,so all i 'm trying to say is this restaurant is by far the best thai food restaurant i 've ever been to .,1,0.036270871758461,0.10162527859210968,0.8621038198471069,True
food,1,"both are delicious , the cooks are friendly and are willing to take a moment and speak to you and shake your hand .",1,0.003606819547712803,0.0016464154468849301,0.994746744632721,True
food,1,"if you want a casual neighborhood bistro that has great food and excellent service , this is the place .",1,0.00729290721938014,0.0029868455603718758,0.9897202849388123,True
food,1,plenty of choices to make your own creation .,1,0.16754546761512756,0.03390377387404442,0.7985507845878601,True
miscellaneous,1,we happened upon this place purely by accident and were pleased with the results .,1,0.2572064995765686,0.10273829847574234,0.640055239200592,True
miscellaneous,0,we were a group of 8 and well seved .,1,0.029772590845823288,0.4448896050453186,0.525337815284729,False
food,1,it 's a perfect place to have a amanzing indian food .,1,0.0043692877516150475,0.017482353374361992,0.978148341178894,True
miscellaneous,1,went here last night and had a pleasant experience .,1,0.011389547027647495,0.029491448774933815,0.9591189622879028,True
food,1,"quality of food is excellent and price is cheap , stick to pork , fish , chicken , lamb and vegetables .",1,0.004284341353923082,0.0037736196536570787,0.9919420480728149,True
miscellaneous,0,"hey , i think $ 2+ for a 5 block walk ai n't bad .",0,0.03774580359458923,0.8077176213264465,0.15453654527664185,True
food,1,"we a menu that rearely changes , e xcept for one or two specials , the quality and care they put in thier food in evident .",1,0.010129769332706928,0.05344490334391594,0.9364253878593445,True
